"N","Group","Domain","Param","True","Reps_Used","Mean_Est","Bias","Rel_Bias","Emp_SD","RMSE","Mean_SE","SE_Bias","Coverage_95"
1000,"Phi","Cognitive-Affective","r(Cog,Aff)",0.4,200,0.405,0.005,0.012,0.032,0.032,0.032,-0.004,0.95
1000,"Phi","Cognitive-Conative","r(Cog,Con)",0.35,200,0.351,0.001,0.002,0.033,0.033,0.032,-0.029,0.94
1000,"Phi","Affective-Conative","r(Aff,Con)",0.48,200,0.481,0.001,0.002,0.032,0.032,0.03,-0.046,0.94
1000,"a","Cognitive","It1_a",1.3,200,1.315,0.015,0.012,0.085,0.086,0.089,0.042,0.955
1000,"a","Cognitive","It2_a",1.345,200,1.348,0.002,0.002,0.082,0.082,0.089,0.091,0.98
1000,"a","Cognitive","It3_a",1.391,200,1.392,0.001,0.001,0.097,0.096,0.092,-0.05,0.95
1000,"a","Cognitive","It4_a",1.436,200,1.435,-0.002,-0.001,0.092,0.092,0.093,0.008,0.95
1000,"a","Cognitive","It5_a",1.482,200,1.478,-0.004,-0.003,0.097,0.096,0.095,-0.013,0.945
1000,"a","Cognitive","It6_a",1.527,200,1.531,0.004,0.002,0.099,0.099,0.096,-0.024,0.955
1000,"a","Cognitive","It7_a",1.573,200,1.585,0.012,0.008,0.098,0.099,0.099,0.004,0.95
1000,"a","Cognitive","It8_a",1.618,200,1.622,0.004,0.002,0.104,0.104,0.101,-0.031,0.945
1000,"a","Cognitive","It9_a",1.664,200,1.662,-0.001,-0.001,0.102,0.102,0.103,0.006,0.955
1000,"a","Cognitive","It10_a",1.709,200,1.704,-0.005,-0.003,0.1,0.1,0.105,0.055,0.96
1000,"a","Cognitive","It11_a",1.755,200,1.761,0.007,0.004,0.103,0.103,0.107,0.041,0.955
1000,"a","Cognitive","It12_a",1.8,200,1.803,0.003,0.002,0.103,0.103,0.109,0.054,0.965
1000,"a","Affective","It13_a",0.9,200,0.899,-0.001,-0.001,0.082,0.082,0.079,-0.039,0.95
1000,"a","Affective","It14_a",0.955,200,0.953,-0.002,-0.002,0.085,0.085,0.081,-0.056,0.955
1000,"a","Affective","It15_a",1.009,200,1.01,0.001,0.001,0.079,0.079,0.082,0.038,0.96
1000,"a","Affective","It16_a",1.064,200,1.061,-0.003,-0.003,0.086,0.085,0.084,-0.023,0.945
1000,"a","Affective","It17_a",1.118,200,1.123,0.005,0.005,0.084,0.084,0.086,0.026,0.945
1000,"a","Affective","It18_a",1.173,200,1.19,0.017,0.015,0.09,0.091,0.088,-0.015,0.955
1000,"a","Affective","It19_a",1.227,200,1.229,0.002,0.002,0.094,0.094,0.091,-0.035,0.955
1000,"a","Affective","It20_a",1.282,200,1.278,-0.004,-0.003,0.089,0.089,0.092,0.039,0.965
1000,"a","Affective","It21_a",1.336,200,1.356,0.02,0.015,0.092,0.094,0.096,0.035,0.975
1000,"a","Affective","It22_a",1.391,200,1.392,0.001,0.001,0.106,0.105,0.098,-0.075,0.945
1000,"a","Affective","It23_a",1.445,200,1.451,0.005,0.004,0.098,0.097,0.1,0.022,0.965
1000,"a","Affective","It24_a",1.5,200,1.505,0.005,0.003,0.102,0.102,0.102,-0.001,0.955
1000,"a","Conative","It25_a",1.1,200,1.105,0.005,0.005,0.075,0.075,0.083,0.1,0.97
1000,"a","Conative","It26_a",1.155,200,1.156,0.001,0.001,0.092,0.092,0.085,-0.081,0.92
1000,"a","Conative","It27_a",1.209,200,1.213,0.003,0.003,0.079,0.078,0.086,0.099,0.975
1000,"a","Conative","It28_a",1.264,200,1.267,0.003,0.002,0.092,0.092,0.088,-0.04,0.95
