"Item","Domain","Loading","Discrimination","b1","b2","b3"
"It1","Cognitive",0.609,1.364,-1.126,0.165,1.017
"It2","Cognitive",0.622,1.39,-1.114,0.078,1.235
"It3","Cognitive",0.642,1.444,-0.985,0.164,0.959
"It4","Cognitive",0.63,1.318,-1.399,0.136,1.362
"It5","Cognitive",0.647,1.543,-1.008,0.072,0.982
"It6","Cognitive",0.644,1.54,-1.183,-0.105,1.239
"It7","Cognitive",0.665,1.535,-1.179,0.035,1.188
"It8","Cognitive",0.703,1.676,-0.986,0.109,1.137
"It9","Cognitive",0.685,1.602,-1.315,-0.005,1.036
"It10","Cognitive",0.724,1.725,-0.985,-0.001,1.018
"It11","Cognitive",0.701,1.702,-1.111,-0.072,1.384
"It12","Cognitive",0.729,1.882,-1.187,0.154,1.118
"It13","Affective",0.479,0.946,-1.158,0.03,0.972
"It14","Affective",0.511,0.979,-1.166,-0.081,0.868
"It15","Affective",0.515,1.015,-1.539,-0.049,1.068
"It16","Affective",0.556,1.105,-1.41,-0.063,0.933
"It17","Affective",0.503,1.022,-1.278,-0.076,1.467
"It18","Affective",0.536,1.19,-1.148,0.006,1.146
"It19","Affective",0.6,1.24,-1.285,0.053,0.953
"It20","Affective",0.605,1.183,-1.314,-0.186,1.078
"It21","Affective",0.604,1.357,-1.373,0.093,1.049
"It22","Affective",0.593,1.331,-0.999,-0.044,1.02
"It23","Affective",0.645,1.535,-1.248,-0.002,0.826
"It24","Affective",0.687,1.557,-1.231,-0.031,1.094
"It25","Conative",0.542,1.118,-0.974,0.05,1.197
"It26","Conative",0.6,1.269,-1.22,-0.123,1
"It27","Conative",0.565,1.22,-1.188,-0.166,1.124
"It28","Conative",0.594,1.252,-1.295,-0.03,1.124
"It29","Conative",0.611,1.271,-1.163,0.078,1.008
"It30","Conative",0.604,1.395,-1.126,0.191,1.251
"It31","Conative",0.685,1.578,-1.04,0.016,0.984
"It32","Conative",0.639,1.445,-1.206,0.007,1.122
"It33","Conative",0.674,1.571,-1.433,0.108,1.08
"It34","Conative",0.739,1.798,-1.213,0.041,0.9
"It35","Conative",0.692,1.733,-1.047,0.01,1.114
"It36","Conative",0.71,1.726,-1.364,0.024,1.185
