"Respondent","Cognitive","Affective","Conative","Typology"
1,-0.487,0.021,-0.554,"Conative-Deficit"
2,-0.862,-1.157,-0.827,"Affective-Friction"
3,0.069,-0.181,-0.581,"Cognitive-Dominant"
4,0.274,-0.024,-0.225,"Cognitive-Dominant"
5,-0.363,-0.041,-0.539,"Conative-Deficit"
6,0.278,0.293,0.344,"Balanced-Tripartite"
7,-0.844,-0.157,-0.395,"Undifferentiated"
8,0.125,0.235,-0.08,"Conative-Deficit"
9,-0.524,0.461,0.695,"Undifferentiated"
10,-0.081,-0.392,0.099,"Affective-Friction"
11,0.943,0.599,1.348,"Affective-Friction"
12,-0.122,-0.017,-0.615,"Conative-Deficit"
13,0.416,0.058,0.871,"Affective-Friction"
14,-0.283,0.135,0.961,"Undifferentiated"
15,-0.206,0.049,-0.231,"Balanced-Tripartite"
16,0.873,0.969,-0.26,"Conative-Deficit"
17,0.213,0.151,0.426,"Balanced-Tripartite"
18,-0.76,0.458,-0.089,"Undifferentiated"
19,1.151,0.815,0.147,"Cognitive-Dominant"
20,-0.035,-0.054,0.08,"Balanced-Tripartite"
21,0.055,1.134,0.612,"Undifferentiated"
22,0.829,-0.141,0.696,"Cognitive-Dominant"
23,0.364,-0.385,-0.124,"Cognitive-Dominant"
24,0.03,-0.133,-0.166,"Balanced-Tripartite"
25,-1.091,-0.265,-0.365,"Undifferentiated"
26,0.356,0.542,0.1,"Conative-Deficit"
27,0.058,0.151,0.151,"Balanced-Tripartite"
28,-0.326,-0.375,-0.821,"Cognitive-Dominant"
29,-0.102,-0.502,-0.233,"Cognitive-Dominant"
30,-0.88,-0.187,-0.465,"Undifferentiated"
31,-0.188,0.245,0.125,"Undifferentiated"
32,-0.089,-1.023,-0.057,"Affective-Friction"
33,-0.159,0.819,1.05,"Undifferentiated"
34,-0.757,-0.267,-0.465,"Undifferentiated"
35,0.156,0.733,0.845,"Undifferentiated"
36,0.722,0.265,0.318,"Cognitive-Dominant"
37,-0.141,-0.499,-0.447,"Cognitive-Dominant"
38,0.355,0.578,-0.023,"Conative-Deficit"
39,0.336,-0.044,0.09,"Cognitive-Dominant"
40,-0.5,0.164,-0.435,"Undifferentiated"
41,0.156,-0.851,-0.545,"Cognitive-Dominant"
42,-0.18,0.085,-0.265,"Conative-Deficit"
43,1.011,0.031,0.061,"Cognitive-Dominant"
44,-1.111,-1.13,-0.377,"Affective-Friction"
45,-0.755,-0.688,0.034,"Undifferentiated"
46,0.011,0.673,0.835,"Undifferentiated"
47,-0.007,0.25,0.045,"Balanced-Tripartite"
48,0.651,0.12,0.892,"Affective-Friction"
49,-0.752,-0.345,-0.226,"Undifferentiated"
50,0.185,-0.218,-0.968,"Cognitive-Dominant"
51,-0.523,-0.502,-0.545,"Balanced-Tripartite"
52,-0.52,0.008,0.168,"Undifferentiated"
53,0.222,0.292,0.829,"Undifferentiated"
54,-0.37,-0.878,0.087,"Affective-Friction"
55,-0.328,-0.366,0.322,"Affective-Friction"
56,0.164,0.144,0.058,"Balanced-Tripartite"
57,0.566,0.52,0.668,"Balanced-Tripartite"
58,-0.333,0.163,0.59,"Undifferentiated"
59,0.519,0.146,0.114,"Cognitive-Dominant"
60,0.184,-0.422,-0.047,"Cognitive-Dominant"
61,0.267,-0.548,-0.137,"Cognitive-Dominant"
62,-0.341,-0.156,-0.546,"Conative-Deficit"
63,0.683,-0.463,0.088,"Cognitive-Dominant"
64,-0.594,-0.201,0.069,"Undifferentiated"
65,-0.963,-0.024,-0.489,"Undifferentiated"
66,-0.317,-1.017,-0.017,"Affective-Friction"
67,-0.828,-0.528,-0.267,"Undifferentiated"
68,-0.766,-0.782,0.212,"Affective-Friction"
69,0.896,0.467,0.335,"Cognitive-Dominant"
70,-0.013,0.207,-0.126,"Conative-Deficit"
71,-0.428,-0.723,-0.119,"Affective-Friction"
72,0.16,0.555,0.406,"Undifferentiated"
73,0.089,0.3,0.506,"Undifferentiated"
74,-0.245,-0.403,-0.548,"Cognitive-Dominant"
75,0.52,0.94,0.504,"Conative-Deficit"
76,1.203,0.151,0.015,"Cognitive-Dominant"
77,-0.03,0.366,0.257,"Undifferentiated"
78,-0.651,0.078,-0.927,"Conative-Deficit"
79,0.29,0.263,-0.332,"Cognitive-Dominant"
80,-0.39,0.254,-0.216,"Undifferentiated"
81,0.584,-0.274,0.423,"Cognitive-Dominant"
82,0.346,-0.034,0.172,"Cognitive-Dominant"
83,0.379,0.33,0.688,"Affective-Friction"
84,0.289,0.221,0.315,"Balanced-Tripartite"
85,-0.216,-0.206,-0.746,"Conative-Deficit"
86,-0.006,0.605,0.476,"Undifferentiated"
87,-0.486,-0.403,-0.069,"Undifferentiated"
88,-0.215,-0.443,-0.6,"Cognitive-Dominant"
89,-0.186,-0.109,0.687,"Undifferentiated"
90,-0.165,0.368,0.092,"Undifferentiated"
91,0.158,0.129,-0.291,"Cognitive-Dominant"
92,0.983,0.344,0.906,"Cognitive-Dominant"
93,-0.522,-0.424,-0.386,"Balanced-Tripartite"
94,-0.041,0.194,-0.459,"Conative-Deficit"
95,-0.611,0,-0.457,"Undifferentiated"
96,-0.945,-0.283,-0.936,"Undifferentiated"
97,-0.052,0.065,1.003,"Undifferentiated"
98,0.31,0.877,0.629,"Undifferentiated"
99,-0.167,-0.073,-0.379,"Conative-Deficit"
100,-0.1,-0.651,-0.194,"Cognitive-Dominant"
101,-0.958,0.399,-0.017,"Undifferentiated"
102,-0.198,0.121,0.352,"Undifferentiated"
103,0.678,-0.509,-0.075,"Cognitive-Dominant"
104,-0.68,-1.07,-0.358,"Affective-Friction"
105,-0.779,-0.328,-0.014,"Undifferentiated"
106,0.357,-0.066,0.217,"Cognitive-Dominant"
107,0.321,-0.193,-0.584,"Cognitive-Dominant"
108,0.364,-0.253,-0.264,"Cognitive-Dominant"
109,-0.21,-0.153,0.224,"Undifferentiated"
110,0.97,0.135,-0.227,"Cognitive-Dominant"
111,0.526,0.321,0.137,"Cognitive-Dominant"
112,-0.411,0.179,-0.079,"Undifferentiated"
113,-0.359,0.002,-0.091,"Undifferentiated"
114,-0.126,0.018,-0.308,"Conative-Deficit"
115,0.602,0.081,-0.709,"Cognitive-Dominant"
116,0.629,0.037,0.496,"Cognitive-Dominant"
117,-0.35,0.652,1.136,"Undifferentiated"
118,1.543,0.371,1.112,"Cognitive-Dominant"
119,1.185,0.358,0.29,"Cognitive-Dominant"
120,-0.362,-0.172,-0.217,"Balanced-Tripartite"
121,-0.07,0.141,0,"Balanced-Tripartite"
122,-0.47,-0.209,-0.401,"Balanced-Tripartite"
123,1.524,0.678,0.565,"Cognitive-Dominant"
124,-0.935,-0.295,-0.918,"Undifferentiated"
125,0.21,0.858,0.421,"Undifferentiated"
126,0.139,0.327,0.82,"Undifferentiated"
127,0.288,-0.331,0.646,"Affective-Friction"
128,-0.091,0.209,-0.283,"Conative-Deficit"
129,0.789,1.149,0.397,"Conative-Deficit"
130,0.297,0.528,0.413,"Balanced-Tripartite"
131,0.204,0.66,0.89,"Undifferentiated"
132,0.019,0.658,0.091,"Undifferentiated"
133,-0.346,-0.185,-0.056,"Balanced-Tripartite"
134,-0.095,0.063,-0.026,"Balanced-Tripartite"
135,0.093,-0.113,-0.741,"Cognitive-Dominant"
136,-0.108,0.268,-0.203,"Conative-Deficit"
137,-0.12,0.563,0.545,"Undifferentiated"
138,0.445,0.333,-0.207,"Cognitive-Dominant"
139,-0.612,-0.116,-0.126,"Undifferentiated"
140,-0.805,0.343,-0.338,"Undifferentiated"
141,-0.218,0.242,0.037,"Undifferentiated"
142,-0.469,-0.179,-0.151,"Undifferentiated"
143,-0.121,-0.18,-0.045,"Balanced-Tripartite"
144,0.022,0.067,-0.51,"Conative-Deficit"
145,0.779,0.651,0.136,"Cognitive-Dominant"
