"Metric","Value"
"Estimator","WLSMV"
"Fit index type","robust"
"Chi-square (scaled)","604.89"
"df","591"
"p-value (scaled)","0.337"
"CFI","0.995"
"TLI","0.995"
"RMSEA","0.010"
"RMSEA CI Low","0.000"
"RMSEA CI High","0.016"
"SRMR","0.028"
"Chi-square (unscaled DWLS; reference only)","426.45"
"df (unscaled)","591"
"Ordinal Alpha - Cognitive","0.905"
"Ordinal Alpha - Affective","0.852"
"Ordinal Alpha - Conative","0.892"
"Omega - Cognitive","0.906"
"Omega - Affective","0.853"
"Omega - Conative","0.892"
"GRM Discrimination Mean (Cog/Aff/Con)","1.560 / 1.205 / 1.448"
"GRM Threshold Means, all 36 items (b1|b2|b3)","b1: -1.194 | b2: 0.016 | b3: 1.090"
"Peak Information Theta (Cog/Aff/Con)","0.100 / 0.000 / 0.200"
