"N","Group","Domain","n_Params","Reps_Used","Mean_Bias","Max_Abs_Rel_Bias","Mean_RMSE","Max_Abs_SE_Bias","Mean_Coverage","Min_Coverage","Max_Coverage","Criteria_Met"
1000,"Phi","Cognitive-Affective",1,200,0.005,0.012,0.032,0.004,0.95,0.95,0.95,TRUE
1000,"Phi","Cognitive-Conative",1,200,0.001,0.002,0.033,0.029,0.94,0.94,0.94,TRUE
1000,"Phi","Affective-Conative",1,200,0.001,0.002,0.032,0.046,0.94,0.94,0.94,TRUE
1000,"a","Cognitive",12,200,0.003,0.012,0.097,0.091,0.955,0.945,0.98,TRUE
1000,"a","Affective",12,200,0.004,0.015,0.091,0.075,0.956,0.945,0.975,TRUE
1000,"a","Conative",12,200,0.003,0.012,0.093,0.1,0.957,0.92,0.975,FALSE
1000,"b1","Cognitive",12,200,-0.004,0.01,0.085,0.068,0.951,0.935,0.98,TRUE
1000,"b1","Affective",12,200,-0.005,0.011,0.104,0.096,0.953,0.925,0.975,TRUE
1000,"b1","Conative",12,200,-0.009,0.02,0.089,0.162,0.955,0.93,0.98,FALSE
1000,"b2","Cognitive",12,200,0.001,NA,0.057,0.134,0.96,0.93,0.985,FALSE
1000,"b2","Affective",12,200,0,NA,0.069,0.099,0.953,0.935,0.97,TRUE
1000,"b2","Conative",12,200,-0.005,NA,0.061,0.101,0.955,0.935,0.97,FALSE
1000,"b3","Cognitive",12,200,0.005,0.01,0.08,0.069,0.955,0.925,0.98,TRUE
1000,"b3","Affective",12,200,0.005,0.018,0.098,0.086,0.953,0.935,0.97,TRUE
1000,"b3","Conative",12,200,-0.002,0.007,0.087,0.094,0.947,0.915,0.975,TRUE
300,"Phi","Cognitive-Affective",1,200,0.002,0.005,0.059,0.023,0.925,0.925,0.925,TRUE
300,"Phi","Cognitive-Conative",1,200,0.002,0.006,0.062,0.07,0.92,0.92,0.92,TRUE
300,"Phi","Affective-Conative",1,200,0.007,0.016,0.056,0.036,0.94,0.94,0.94,TRUE
300,"a","Cognitive",12,200,0.025,0.023,0.183,0.139,0.958,0.935,0.98,FALSE
300,"a","Affective",12,200,0.015,0.029,0.166,0.096,0.95,0.91,0.985,FALSE
300,"a","Conative",12,200,0.015,0.023,0.177,0.116,0.954,0.915,0.975,FALSE
300,"b1","Cognitive",12,200,0.008,0.019,0.154,0.08,0.946,0.92,0.97,TRUE
300,"b1","Affective",12,200,-0.004,0.011,0.191,0.089,0.95,0.925,0.97,TRUE
300,"b1","Conative",12,200,-0.003,0.013,0.171,0.156,0.943,0.895,0.97,FALSE
300,"b2","Cognitive",12,200,0.01,NA,0.11,0.142,0.941,0.9,0.97,FALSE
300,"b2","Affective",12,200,0.006,NA,0.13,0.073,0.951,0.935,0.96,TRUE
300,"b2","Conative",12,200,0.008,NA,0.116,0.079,0.95,0.925,0.97,TRUE
300,"b3","Cognitive",12,200,0.012,0.023,0.149,0.108,0.949,0.93,0.98,FALSE
300,"b3","Affective",12,200,0.016,0.028,0.187,0.132,0.946,0.925,0.97,FALSE
300,"b3","Conative",12,200,0.018,0.04,0.164,0.085,0.955,0.945,0.97,TRUE
