N,Group,n Params,Mean Bias,Max Abs Rel Bias,Mean RMSE,Mean Coverage,Min Coverage,Max Abs SE Bias,Domains Meeting Criteria
1000,Phi,3,0.002,0.012,0.032,0.943,0.94,0.046,3
1000,a,36,0.003,0.015,0.093,0.956,0.92,0.1,2
1000,b1,36,-0.006,0.02,0.092,0.953,0.925,0.162,2
1000,b2,36,-0.001,NA,0.062,0.956,0.93,0.134,1
1000,b3,36,0.003,0.018,0.088,0.952,0.915,0.094,3
300,Phi,3,0.004,0.016,0.059,0.928,0.92,0.07,3
300,a,36,0.018,0.029,0.175,0.954,0.91,0.139,0
300,b1,36,0,0.019,0.172,0.946,0.895,0.156,2
300,b2,36,0.008,NA,0.118,0.947,0.9,0.142,2
300,b3,36,0.015,0.04,0.167,0.95,0.925,0.132,1
